id,name,username,mark
1620651618038419456,Yale,,True
143636182,Eric Okafor,KneWKeeD,True
4211800833,Zeelicious Foods,zeeliciousfoods,True
880142286176231425,YouTube Music,youtubemusic,True
93711247,Android Developers,AndroidDev,True
38679388,Gmail,gmail,True
33838201,Google AI,GoogleAI,True
20536157,Google,Google,True
50393960,Bill Gates,BillGates,True
17471979,National Geographic,NatGeo,True
3108351,The Wall Street Journal,WSJ,True
1636590253,Tim Cook,tim_cook,True
13298072,Tesla,Tesla,True
10228272,YouTube,YouTube,True
4549162582,every lot chicago,everylotchicago,True
866953267,Cardi B,iamcardib,True
759251,CNN,CNN,True
17919972,Taylor Swift,taylorswift13,True
11348282,NASA,NASA,True
44196397,Elon Musk,elonmusk,True
1349149096909668363,President Biden,POTUS,True
143636182,Eric Okafor,KneWKeeD,True
4211800833,Zeelicious Foods,zeeliciousfoods,True
880142286176231425,YouTube Music,youtubemusic,True
93711247,Android Developers,AndroidDev,True
38679388,Gmail,gmail,True
33838201,Google AI,GoogleAI,True
20536157,Google,Google,True
50393960,Bill Gates,BillGates,True
17471979,National Geographic,NatGeo,True
3108351,The Wall Street Journal,WSJ,
768272538,Harri Obi,Harri_obi,
2358300761,Ikenna S.,1K3NN4,
196635814,Mr Madox,Mr_Madox,
626849052,Communicator 🐦,usman__haruna,
3247967476,Ruby Aka Nnenna Far From Home Netflix,Rubyokezie,
320439510,Greg,gregcroc,
29841654,chidi mokeme,chidimokeme,
234741737,Samuel Ekene,Lucca_tonni,
747203874180653057,TechOdyssey | #TechRejects,AdamJMatlock,
1446133140964192256,Aanu Adeyemo,_aanuolin,
913267967185637377,Chiamaka Nwakalor-Egemba,chef_amakaa,
1490397761048559619,Arinze Ephraim,EphraimArinze1,
302413828,MrMacaroni,mrmacaronii,
1329071740140490752,honeyafricatv,honeyafricatv,
971127993925029889,TORI's KITCHEN,Toris_kitchen,
308269557,Dr. Chinonso Egemba,aproko_doctor,
1378297447701753857,Nairacontract,nairacontract,
614740381,Amara (Beautifully Engraced),amara0f4,
1153329011780665357,Kelvin.,realkelvin07,
169064623,BR ☆,breerunway,
1164968668473843717,Cat Burns,catburns,
919939970927943687,Nia Archives,archives_nia,
1298662914698678279,FLO,flolikethis,
39878074,Ari Lennox,AriLennox,
26392098,smi,smino,
107436986,Shania Twain 💎💎💎,ShaniaTwain,
930510644763287552,knxwledge,knxwledge,
43901113,YouTube Advertisers,YTAdvertisers,
709404702,Divino Niño,DivinoNinoband,
21578927,Takeshi Hagikura,thagikura,
76538135,Dinorah Tovar,DDinorahtovar,
14678973,Matthew J. McCullough,matthewmccull,
165713975,Márton Braun @zsmb13@androiddev.social,zsmb13,
167463460,Ale~ astamato@androiddev.social,astamatok,
1095416403870580738,Ahmed Tikiwa,ahmed_tikiwa,
222522906,chrisarriola@androiddev.social,arriolachris,
1563038755455307777,Google Pixel,GooglePixel_US,
347645640,@matt@androiddev.social 🐘,himattm,
248024631,Check @jlengrand@mastodon.online,jlengrand,
2860116159,Suzanne Jones,boudicca_fight,
1251551657227411456,Mukesh Kumar,MukeshSakarwal,
20088765,Javier Soltero 🇵🇷,jsoltero,
23536666,Kelly Waldher,kwaldher,
1283458616285106183,Laura Mae Martin,LauraMaeMartin,
950864012,🐍🐘ChristinaⓋ🐭🦅,cvondrashek,
149917241,🌏🚶🏻Mr. Tweet 📷 😷,CoolSky_,
17003765,Google Workspace,GoogleWorkspace,
12460982,Larry Dignan,ldignan,
227037531,Stephanie Condon,StephCondonPDX,
1264252764345044993,The Africa I Know®,theafricaiknow_,
322711407,ACM Digital Library,ACMDL,
82364810,MIT CSAIL,MIT_CSAIL,
54290504,IEEE,IEEEorg,
52220019,IEEE ComputerSociety,ComputerSociety,
115763683,Association for Computing Machinery,TheOfficialACM,
1194202635114557440,Google Health,GoogleHealth,
1963617619,The Team at X,Theteamatx,
19367815,Google Cloud,googlecloud,
796092645193846784,Waymo,Waymo,
1251551657227411456,Mukesh Kumar,MukeshSakarwal,
1563038755455307777,Google Pixel,GooglePixel_US,
1376638214920753154,Thomas Kurian,ThomasOrTK,
17424053,fitbit,fitbit,
1403022445511024643,"yoo-lan, CLOSED",raspbevrry,
1362899548541124609,AdsLiaison,adsliaison,
1383967390556246018,Quantum AI,GoogleQuantumAI,
398500188,Prabhakar Raghavan,WittedNote,
96268540,Stephan Somogyi,thinkpanzer,
1270530610293911552,Google for Creators,googlecreators,
2742904843,Eitan Bernath,EitanBernath,
43533997,Michael Fullilove,mfullilove,
83521919,The Lowy Institute,LowyInstitute,
254515782,Anthony Albanese,AlboMP,
126124275,Jonathan Morrison 🙋🏻‍♂️,tldtoday,
353428377,Little Free Library®,LtlFreeLibrary,
526391144,Catherine Muraga,CMuraga,
3240247527,Teresa H. Clarke ,tclarke_africa,
186017092,Uduak Amimo,UduakAmimo,
84610416,Aisha R Pandor,aishapandor,
18558612,ESPN PR,ESPNPR,
1394433104316674048,Yulia Petrossian Boyle,YuliaBoyle,
1339966433351098370,Whitney Catherine Latorre,WhitneyLatorre,
50463892,Anne Kim-Dannibale,mrsdaneebs,
36771809,National Park Service,NatlParkService,
204536240,Chris Burkard,chrisburkard,
784817564845215744,Gibbs Kuguru,GibbsKuguru,
37023694,Conrad  Anker,conrad_anker,
375596625,Bertie Gregory,bertiegregory,
1460108109238571009,Kiliii Yuyan,KiliiiYuyan,
2774878370,Miles Kruppa,MilesKruppa,
300009838,mike claudio,Mike_Claudio,
829776300,Mariah Timms,MariahTimms,
28730834,Ryan Barber,cryanbarber,
2679030733,Yoko Kubota,Kubota_Yoko,
254386542,Alexander Osipovich,aosipovich,
2648836646,Robert O'Connell,robertfoconnell,
996054186,Daniella Cheslow,DaniellaCheslow,
21620436,Imani,MoiseNoise,
1729206805,WSJ Customer Support,WSJ_Support,
44196397,Elon Musk,elonmusk,
1103518614982819840,Ted Lasso,TedLasso,
432943643,Greg Joswiak,gregjoz,
312681953,Sahil Bloom,SahilBloom,
15111011,Paul Finebaum,finebaum,
1198406491,Reese Witherspoon,ReeseW,
313381067,Lloyd Blankfein,lloydblankfein,
1111766238093406208,Apple Arcade,AppleArcade,
74755679,octavia spencer,octaviaspencer,
25093616,Men's Health Mag,MensHealthMag,
1618601297510383616,Tesla Megapack,Tesla_Megapack,
1620480811303866369,Tesla Europe,tesla_europe,
121291606,Twitter Business,TwitterBusiness,
1616163256413863943,Tesla Optimus,Tesla_Optimus,
856406682552946688,Tesla Owners UK 🇬🇧,TeslaOwnersUK,
1405917556318392324,Tesla Solar,TeslaSolar,
1346535293449428992,Tesla Charging,TeslaCharging,
197801736,Tesla Japan,teslamotorsjp,
1201427034754318337,Tesla Asia,Tesla_Asia,
17060015,CleanTechnica,cleantechnica,
1405456199919734785,uTure Show,utureshow,
805133391159066625,Taylor Cassidy,taylorcassidyj,
3165311079,Lofi Girl,lofigirl,
1308928918833987590,Doja Cat Brasil (fã-clube),dojacatbrasiI,
1249020707012587522,doja pics,dojacatpics,
3348394661,Marie Romero♥♥♥,MarieRoboMarie,
182470358,runfast!!!,KingT4545,
1204681866176946176,watchtimepod,watchtimepod,
216097444,Evan Ranft,EvanRanft,
180266993,VUH🎬,Vuhlandes,
4531666948,every lot nyc,everylotnyc,
4554563667,every lot sf,everylotsf,
6853512,Neil,fitnr,
4549072827,every lot la,everylotla,
71026122,McDonald's,McDonalds,
1539094263123922947,bri 💎,dearestbelcalis,
1548754874690576384,ًََ,LAVISHSZN_,
3378508786,PROD. BY CAM CORTEZ,CMCEAUX,
1539458572324438017,𝐋𝐚𝐬𝐡𝐞𝐫 ⚔️ (parody),blueberrycvm,
40995832,Mona Scott-Young,MonaScottYoung,
1497347185528254469,Kulture's Richard Mille 3,bardi_mugler,
1511701971522179075,Rap💫G¡rls♡Cav¡ar⚜️,BonifideBeaut,
1400968649549156360,Someone You May Know,BUOnTheDL,
415161968,Mr. Harrington ❤️,MrKeery,
1315434762396479488,Melissa Cooney,melissacooneytv,
12354832,Kasie Hunt,kasie,
16376937,Errol Louis,errollouis,
1331641552020656129,Cassidy Del Greco,CassidyDelGreco,
1382093383167049731,kimberly,myplantifullife,
612693486,Sara Anwar,SaraAnwarCNN,
85131054,Jeff Zeleny,jeffzeleny,
14412533,Chris Cillizza,ChrisCillizza,
79096386,Daniel Wine,danwine,
277654637,Sofia Barrett,sofia_barrett,
7152572,Library of Congress,librarycongress,
15165493,NASA Solar System,NASASolarSystem,
1456357980216066048,Anil Menon,astro_anil,
1524476337314050048,Chris Williams,Astro_ChrisW,
1498382087048638480,Andre Douglas,Astro_AndreD,
1503438935808217088,Jessica Watkins,astro_watkins,
1481392449402589184,Deniz Burnham,astro_deniz,
1481690836228358145,Marcos Berríos,astro_berrios,
1481394337900601352,Nichole “Vapor” Ayers,Astro_Ayers,
1452706961565396996,NASA Space Science,NASASpaceSci,
19426551,NFL,NFL,
2398137084,ARK Invest,ARKInvest,
11094232,Daniel Ek,eldsjal,
785411705916559360,Thierry Breton,ThierryBreton,
1361124510,Chris Bakke,ChrisJBakke,
138882249,Black Hole,konstructivizm,
467823431,Hakeem Jeffries,RepJeffries,
93714983,Canadian Space Agency,csa_asc,
1390762874809761793,Defiant L’s,DefiantLs,
1474091860025122817,ShitpostGateway,ShitpostGate,
42562446,Stephen Curry,StephenCurry30,
1352064843432472578,White House COVID-19 Response Team,WHCOVIDResponse,
1351302423273472012,Kate Bedingfield,WHCommsDir,
1351293685493878786,Susan Rice,AmbRice46,
1351341047394295808,Jen O'Malley Dillon,JOD46,
1351284403801108481,Jeff Zients,WHCOS,
1351311448195166208,Brian Deese,Brian_C_Deese,
1349389044426403847,La Casa Blanca,LaCasaBlanca,
1349170292564905988,Karine Jean-Pierre,PressSec,
1349175483989188608,Douglas Emhoff,SecondGentleman,
768272538,Harri Obi,Harri_obi,
2358300761,Ikenna S.,1K3NN4,
196635814,Mr Madox,Mr_Madox,
626849052,Communicator 🐦,usman__haruna,
3247967476,Ruby Aka Nnenna Far From Home Netflix,Rubyokezie,
320439510,Greg,gregcroc,
201202497,Dessi,dendessy,
29841654,chidi mokeme,chidimokeme,
234741737,Samuel Ekene,Lucca_tonni,
747203874180653057,TechOdyssey | #TechRejects,AdamJMatlock,
1446133140964192256,Aanu Adeyemo,_aanuolin,
913267967185637377,Chiamaka Nwakalor-Egemba,chef_amakaa,
1490397761048559619,Arinze Ephraim,EphraimArinze1,
302413828,MrMacaroni,mrmacaronii,
1329071740140490752,honeyafricatv,honeyafricatv,
971127993925029889,TORI's KITCHEN,Toris_kitchen,
308269557,Dr. Chinonso Egemba,aproko_doctor,
1378297447701753857,Nairacontract,nairacontract,
